rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.203496,-0.221666,0.164854,0.165027,-0.310896,0.143953,0.180225,0.105323,0.155869,1
0.158984,0.254326,0.128817,0.141601,0.034862,0.112371,0.143556,0.432353,0.114288,2
0.108534,0.652487,0.085033,0.147437,-0.046332,0.111704,0.116598,0.625526,0.09052,3
0.059368,0.896021,0.044955,0.148334,-0.059102,0.112574,0.116071,0.628906,0.087091,4
0.040871,0.950719,0.030032,0.148164,-0.056682,0.11466,0.114793,0.637031,0.084575,5
0.030955,0.971731,0.022,0.14521,-0.01496,0.111592,0.111982,0.654589,0.082678,6
0.024689,0.982018,0.017273,0.145595,-0.020362,0.111987,0.111066,0.660221,0.081395,7
0.020794,0.987244,0.01382,0.1456,-0.020423,0.112269,0.111755,0.655992,0.082448,8
0.018257,0.990167,0.011787,0.144798,-0.009216,0.110798,0.110159,0.665747,0.08018,9
0.016786,0.991688,0.010704,0.146024,-0.026384,0.112574,0.110475,0.663825,0.080876,10
0.013936,0.99427,0.008288,0.145571,-0.020026,0.112678,0.110279,0.665019,0.080492,11
0.009245,0.997479,0.004701,0.145897,-0.024592,0.112544,0.110237,0.665274,0.079624,12
0.008552,0.997842,0.003738,0.145609,-0.020556,0.112317,0.110143,0.665842,0.079562,13
0.007845,0.998184,0.003425,0.145552,-0.019758,0.112294,0.110224,0.66535,0.079863,14
0.007216,0.998464,0.003113,0.145876,-0.024292,0.112848,0.110614,0.662976,0.080223,15
0.006956,0.998572,0.003032,0.145611,-0.020581,0.112342,0.110446,0.663998,0.079834,16
0.006872,0.998607,0.002895,0.145784,-0.023004,0.112651,0.110606,0.663025,0.079624,17
0.006684,0.998682,0.002751,0.14605,-0.026739,0.112936,0.110856,0.661504,0.079906,18
0.006127,0.998892,0.002462,0.145832,-0.023683,0.112632,0.11068,0.662576,0.079818,19
0.006339,0.998814,0.00238,0.146048,-0.026709,0.113199,0.111036,0.6604,0.080403,20
0.005778,0.999015,0.002126,0.145889,-0.024474,0.112976,0.110858,0.661491,0.080019,21
0.005455,0.999122,0.001876,0.145972,-0.025645,0.112979,0.110956,0.660891,0.080008,22
0.005462,0.99912,0.001736,0.145738,-0.022366,0.112648,0.110745,0.662182,0.079748,23
0.005275,0.999179,0.001692,0.145871,-0.024221,0.112779,0.110882,0.661343,0.080067,24
0.005397,0.999141,0.001642,0.145993,-0.025946,0.113032,0.110941,0.66098,0.080248,25
0.005268,0.999181,0.001735,0.145991,-0.025909,0.112928,0.110972,0.660796,0.079983,26
0.005352,0.999155,0.00164,0.145957,-0.025438,0.112876,0.110972,0.660795,0.080106,27
0.005926,0.998964,0.001677,0.145868,-0.02419,0.112681,0.110925,0.66108,0.080179,28
0.005259,0.999184,0.001616,0.146136,-0.027959,0.113225,0.111102,0.659997,0.080132,29
0.005038,0.999251,0.001466,0.146073,-0.027071,0.113058,0.111042,0.660366,0.080066,30
