rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
2.516364,-205.61973,0.912885,0.217059,-0.955764,0.17079,0.217199,-0.534179,0.167533,1
0.268958,-1.360454,0.214994,0.194453,-0.569608,0.151683,0.200933,-0.31299,0.160663,2
0.245207,-0.961967,0.192041,0.175833,-0.283396,0.133712,0.184424,-0.106096,0.14969,3
0.234164,-0.789224,0.186788,0.178478,-0.3223,0.138528,0.172122,0.036545,0.133953,4
0.229589,-0.719999,0.181734,0.201068,-0.67822,0.161236,0.205857,-0.378128,0.169863,5
0.230708,-0.736802,0.182388,0.198736,-0.639519,0.153911,0.201577,-0.321427,0.151125,6
0.234416,-0.793077,0.188592,0.147106,0.101701,0.114647,0.158201,0.186091,0.128277,7
0.211478,-0.45934,0.165581,0.140658,0.178721,0.108779,0.140613,0.357001,0.109551,8
0.199968,-0.304806,0.158723,0.138236,0.206764,0.104385,0.142578,0.338908,0.110145,9
0.209962,-0.438492,0.165804,0.15719,-0.025676,0.119526,0.147599,0.291523,0.112703,10
0.183134,-0.094369,0.145525,0.149233,0.075529,0.11365,0.146384,0.30314,0.112651,11
0.184972,-0.116441,0.146533,0.143825,0.141321,0.122778,0.146637,0.30073,0.125197,12
0.177258,-0.025266,0.140475,0.139554,0.191559,0.114327,0.146963,0.297613,0.122533,13
0.186834,-0.139037,0.148813,0.134119,0.253302,0.106294,0.139535,0.36682,0.11045,14
0.173819,0.014134,0.137578,0.137268,0.21783,0.104696,0.141157,0.352019,0.112427,15
0.171932,0.035415,0.134678,0.126553,0.335173,0.102692,0.126647,0.478384,0.105494,16
0.170284,0.053819,0.134992,0.1268,0.332575,0.101802,0.129765,0.452389,0.108323,17
0.17056,0.050749,0.135198,0.118175,0.420289,0.091057,0.127049,0.475066,0.103127,18
0.169932,0.057732,0.134931,0.144798,0.129659,0.120387,0.145073,0.315563,0.120017,19
0.16555,0.105697,0.131128,0.138591,0.202678,0.104363,0.137532,0.384866,0.104215,20
0.166242,0.098211,0.132123,0.117301,0.428833,0.092238,0.123325,0.505388,0.099498,21
0.156484,0.200967,0.125355,0.112765,0.472154,0.086082,0.117853,0.548306,0.093942,22
0.155708,0.208872,0.123292,0.125085,0.350512,0.099223,0.131031,0.441648,0.107931,23
0.152484,0.241291,0.121653,0.127477,0.325432,0.102868,0.127519,0.471174,0.105054,24
0.153007,0.236085,0.122169,0.116761,0.434075,0.08809,0.119337,0.53686,0.091477,25
0.155956,0.206347,0.12363,0.116078,0.440678,0.090948,0.120447,0.528206,0.097583,26
0.153161,0.23454,0.12245,0.122162,0.380512,0.092435,0.125999,0.483711,0.099145,27
0.154303,0.223081,0.1239,0.126803,0.33255,0.095059,0.128326,0.46446,0.098318,28
0.150676,0.25918,0.119948,0.122113,0.381009,0.09262,0.124053,0.499532,0.09837,29
0.154629,0.219798,0.122398,0.118243,0.419617,0.094127,0.121005,0.523825,0.098162,30
