rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.801751,-95.316241,0.391582,0.261681,-9.068835,0.227045,0.261325,-8.992034,0.225549,1
0.276047,-10.417934,0.216789,0.146233,-2.14432,0.120729,0.142252,-1.960811,0.116934,2
0.247408,-8.171677,0.191453,0.11394,-0.908902,0.089759,0.114445,-0.916401,0.091077,3
0.227819,-6.7768,0.1772,0.128321,-1.421178,0.102266,0.131473,-1.529106,0.105837,4
0.206768,-5.405976,0.160699,0.117434,-1.027793,0.097103,0.118097,-1.040659,0.097145,5
0.192693,-4.563531,0.150214,0.147662,-2.206066,0.127778,0.151915,-2.376713,0.132832,6
0.176081,-3.645619,0.137418,0.104613,-0.609172,0.084889,0.105831,-0.638771,0.087247,7
0.159642,-2.81868,0.124387,0.076862,0.131323,0.057561,0.077569,0.119615,0.057692,8
0.153451,-2.52824,0.119894,0.123468,-1.241522,0.103504,0.123573,-1.234299,0.104352,9
0.153768,-2.542836,0.119417,0.087388,-0.12288,0.067122,0.087645,-0.123939,0.066949,10
0.121661,-1.217811,0.094998,0.069654,0.286613,0.051998,0.069514,0.292976,0.052364,11
0.116679,-1.039886,0.091453,0.069654,0.286618,0.052381,0.071199,0.258274,0.053303,12
0.113567,-0.932513,0.089547,0.08167,0.019246,0.064627,0.082111,0.013497,0.065818,13
0.11053,-0.830564,0.085973,0.069609,0.287528,0.052565,0.071011,0.262196,0.052342,14
0.109559,-0.798529,0.085886,0.077208,0.123493,0.059065,0.076461,0.144585,0.059026,15
0.106638,-0.703915,0.083078,0.068036,0.319378,0.05028,0.068642,0.310593,0.051349,16
0.103615,-0.608674,0.081141,0.066645,0.346917,0.049074,0.068125,0.320947,0.049344,17
0.09983,-0.4933,0.078291,0.067919,0.321701,0.050586,0.068692,0.309584,0.050791,18
0.096982,-0.409289,0.076025,0.070467,0.269864,0.053762,0.070215,0.278637,0.052793,19
0.095509,-0.366824,0.074673,0.078907,0.084477,0.062049,0.080438,0.053285,0.062158,20
0.090995,-0.240659,0.071088,0.064802,0.382543,0.047676,0.065267,0.376722,0.047744,21
0.093828,-0.319135,0.073668,0.065989,0.3597,0.048307,0.066991,0.343363,0.048485,22
0.090885,-0.237673,0.070897,0.065728,0.364774,0.048513,0.06692,0.344762,0.048492,23
0.08966,-0.20453,0.070298,0.064535,0.387616,0.047285,0.065694,0.368548,0.048625,24
0.088253,-0.167013,0.069061,0.064179,0.394351,0.047132,0.065341,0.375302,0.047389,25
0.088762,-0.18053,0.069467,0.074617,0.18133,0.058429,0.076235,0.149653,0.05841,26
0.08864,-0.177292,0.069563,0.064414,0.38991,0.047021,0.065353,0.375072,0.047186,27
0.089028,-0.187601,0.069733,0.064824,0.382118,0.048388,0.065772,0.367049,0.048567,28
0.086422,-0.119098,0.067698,0.076749,0.133886,0.059507,0.077821,0.113891,0.059509,29
0.086288,-0.115634,0.06782,0.065465,0.369834,0.048236,0.066101,0.36069,0.04799,30
