rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
0.900694,-49.002405,0.448534,0.133115,-0.116703,0.10921,0.139536,-0.233335,0.113904,1
0.277176,-3.735285,0.215925,0.149973,-0.417457,0.116318,0.150651,-0.437666,0.114139,2
0.245157,-2.704443,0.19122,0.135458,-0.156368,0.106033,0.137749,-0.201956,0.110832,3
0.253241,-2.952778,0.195614,0.169934,-0.81989,0.139575,0.167887,-0.785431,0.13803,4
0.231272,-2.29671,0.179594,0.123555,0.037938,0.103961,0.121799,0.060277,0.102222,5
0.211344,-1.753056,0.163178,0.133226,-0.118569,0.10932,0.135452,-0.162197,0.109602,6
0.20902,-1.692847,0.161264,0.170318,-0.828111,0.12935,0.163379,-0.690842,0.125965,7
0.184394,-1.095699,0.143576,0.084175,0.553471,0.062891,0.087094,0.519511,0.065249,8
0.195628,-1.358849,0.152352,0.092984,0.455123,0.071439,0.090716,0.478712,0.069746,9
0.177724,-0.946841,0.138289,0.087558,0.516856,0.069508,0.0889,0.499377,0.071264,10
0.148828,-0.365221,0.116388,0.077877,0.61779,0.059523,0.080439,0.590131,0.061664,11
0.140017,-0.208371,0.109612,0.073766,0.657079,0.055093,0.076044,0.633697,0.056737,12
0.139779,-0.204263,0.109499,0.075652,0.639317,0.058838,0.077954,0.615063,0.059904,13
0.135594,-0.133223,0.106506,0.076571,0.630497,0.057982,0.079257,0.602087,0.059697,14
0.137742,-0.169412,0.107729,0.074284,0.652247,0.057508,0.075518,0.638747,0.05813,15
0.132064,-0.074995,0.10371,0.081684,0.57951,0.058728,0.083912,0.553977,0.060427,16
0.130781,-0.054211,0.102581,0.082525,0.570801,0.063977,0.082892,0.564755,0.063867,17
0.126749,0.009792,0.099309,0.083166,0.564111,0.064668,0.086071,0.530724,0.065431,18
0.131706,-0.069179,0.103657,0.075613,0.639694,0.057013,0.077547,0.619073,0.057869,19
0.133482,-0.098202,0.104175,0.07391,0.655738,0.055446,0.07638,0.630456,0.056866,20
0.117673,0.146527,0.091167,0.079668,0.600008,0.061947,0.083009,0.563528,0.063547,21
0.116695,0.160662,0.091996,0.073703,0.657667,0.057217,0.075426,0.639621,0.058116,22
0.113587,0.204772,0.088962,0.077753,0.619009,0.057264,0.07796,0.615003,0.057402,23
0.115743,0.174288,0.090826,0.072778,0.666198,0.056962,0.074608,0.647402,0.057627,24
0.112491,0.220048,0.088468,0.079201,0.604686,0.063596,0.081712,0.577056,0.064361,25
0.114518,0.191673,0.089335,0.089551,0.494607,0.07519,0.091238,0.472694,0.076192,26
0.113171,0.210589,0.08891,0.086545,0.527971,0.064202,0.085454,0.537435,0.063435,27
0.109146,0.26573,0.085884,0.073588,0.658726,0.058209,0.07503,0.643405,0.058629,28
0.108345,0.27647,0.084955,0.074356,0.651573,0.054053,0.075628,0.63769,0.055431,29
0.108237,0.277913,0.084959,0.076858,0.627727,0.062456,0.078709,0.607573,0.063377,30
