rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.307374,-54.631757,0.776771,0.298417,-2.696655,0.238625,0.299036,-1.975047,0.233026,1
0.42342,-4.835345,0.336131,0.197188,-0.614072,0.152908,0.215232,-0.541203,0.166649,2
0.382682,-3.766483,0.301615,0.232752,-1.248783,0.191579,0.246754,-1.025707,0.194475,3
0.388304,-3.907582,0.307118,0.224602,-1.094065,0.180603,0.255791,-1.176795,0.194377,4
0.396483,-4.116482,0.31134,0.197252,-0.615122,0.145303,0.23642,-0.859579,0.180995,5
0.341529,-2.796455,0.269638,0.172686,-0.237868,0.13967,0.192913,-0.238141,0.150333,6
0.338922,-2.738716,0.26596,0.190733,-0.510131,0.160031,0.204094,-0.385826,0.167066,7
0.318759,-2.307105,0.251991,0.158049,-0.036917,0.122688,0.175795,-0.028163,0.14418,8
0.294331,-1.819641,0.232001,0.185609,-0.430079,0.145439,0.202951,-0.37035,0.160572,9
0.288251,-1.704365,0.228857,0.138269,0.206385,0.109211,0.149884,0.252588,0.119291,10
0.240818,-0.887562,0.191284,0.134564,0.248341,0.103209,0.151576,0.23562,0.115541,11
0.235253,-0.801331,0.187057,0.130187,0.296443,0.100691,0.142666,0.322847,0.109764,12
0.233478,-0.774249,0.18437,0.127996,0.319926,0.098006,0.138198,0.364597,0.105111,13
0.220965,-0.589169,0.176652,0.119849,0.403744,0.098862,0.139463,0.352906,0.115052,14
0.237674,-0.838601,0.188333,0.127999,0.319902,0.100427,0.141984,0.329307,0.108183,15
0.220952,-0.588977,0.17532,0.147052,0.102352,0.113188,0.156704,0.18303,0.120198,16
0.230916,-0.735524,0.182797,0.163894,-0.115029,0.127151,0.172518,0.009814,0.130292,17
0.232287,-0.756187,0.183686,0.120131,0.400941,0.095508,0.128362,0.451826,0.101175,18
0.214597,-0.498889,0.170372,0.168911,-0.184339,0.135271,0.170869,0.028654,0.13242,19
0.210905,-0.447759,0.166635,0.132416,0.272148,0.109711,0.141728,0.331722,0.117891,20
0.203886,-0.353,0.161658,0.112605,0.473644,0.089872,0.120473,0.517134,0.095884,21
0.190221,-0.177715,0.151175,0.116091,0.440549,0.089326,0.123718,0.49077,0.095846,22
0.184435,-0.107159,0.147362,0.119432,0.407892,0.092038,0.127515,0.45903,0.099092,23
0.187136,-0.139826,0.147454,0.132723,0.268774,0.104333,0.137764,0.368582,0.107221,24
0.185576,-0.120894,0.147562,0.11948,0.407416,0.092331,0.12412,0.487453,0.094503,25
0.183805,-0.099602,0.14571,0.131496,0.282229,0.100841,0.137081,0.374827,0.101573,26
0.177633,-0.027003,0.141587,0.11621,0.439405,0.089207,0.124279,0.486144,0.093186,27
0.183363,-0.09432,0.145423,0.124301,0.358632,0.095855,0.131651,0.423374,0.099763,28
0.18308,-0.090947,0.146001,0.109728,0.5002,0.085889,0.119149,0.527689,0.09334,29
0.179758,-0.051716,0.142885,0.117152,0.430276,0.091042,0.126046,0.471427,0.096818,30
