rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.073505,-36.77351,0.638277,0.195933,-0.593594,0.152236,0.211316,-0.411184,0.166552,1
0.349496,-3.003729,0.269292,0.198689,-0.638733,0.155135,0.205916,-0.339987,0.162494,2
0.33193,-2.611381,0.25914,0.146838,0.104968,0.118033,0.159616,0.194865,0.123605,3
0.337697,-2.737945,0.265103,0.188814,-0.479889,0.148015,0.196773,-0.223632,0.156416,4
0.311304,-2.176502,0.240589,0.181639,-0.369561,0.14563,0.197132,-0.228097,0.159652,5
0.28997,-1.756034,0.224587,0.18819,-0.470129,0.161053,0.173449,0.049254,0.140833,6
0.2807,-1.582647,0.220653,0.138094,0.208386,0.106244,0.159381,0.197228,0.123062,7
0.287368,-1.706797,0.222497,0.138634,0.202183,0.104532,0.155815,0.232746,0.118353,8
0.263747,-1.28011,0.205939,0.148182,0.088504,0.116338,0.16468,0.142964,0.127528,9
0.276306,-1.502416,0.212233,0.158412,-0.041691,0.128016,0.1733,0.050892,0.133328,10
0.233819,-0.792006,0.182607,0.137437,0.215902,0.108982,0.151369,0.275908,0.117185,11
0.218878,-0.570307,0.169305,0.123313,0.368779,0.09818,0.126695,0.49273,0.100167,12
0.228424,-0.710261,0.176697,0.152074,0.040004,0.114126,0.159148,0.199574,0.12271,13
0.214518,-0.508372,0.1668,0.126811,0.332462,0.103302,0.126737,0.492399,0.099156,14
0.204914,-0.376335,0.161111,0.151086,0.052437,0.126403,0.149456,0.294099,0.127155,15
0.208282,-0.421948,0.163928,0.134093,0.253596,0.11218,0.130358,0.462976,0.104095,16
0.211839,-0.470925,0.165825,0.130533,0.292698,0.102421,0.135012,0.423944,0.106461,17
0.215524,-0.522547,0.168018,0.133031,0.265372,0.108387,0.133421,0.437445,0.107076,18
0.206692,-0.400323,0.160773,0.144524,0.13295,0.123562,0.143148,0.35243,0.120899,19
0.20215,-0.339455,0.159196,0.120228,0.399973,0.096063,0.121537,0.533197,0.094838,20
0.182985,-0.097511,0.142379,0.116702,0.434651,0.087695,0.133575,0.436146,0.100656,21
0.183055,-0.098354,0.142673,0.11232,0.476305,0.087117,0.125531,0.502009,0.095535,22
0.185293,-0.125378,0.144453,0.118748,0.414647,0.096669,0.128227,0.480389,0.104492,23
0.179078,-0.051144,0.139791,0.117534,0.426563,0.088161,0.127444,0.486719,0.096128,24
0.174237,0.004916,0.136284,0.120324,0.399016,0.08963,0.132108,0.448459,0.098478,25
0.175516,-0.009746,0.137067,0.113985,0.460663,0.091671,0.121672,0.532155,0.097094,26
0.172014,0.030145,0.135245,0.113509,0.465159,0.092437,0.12369,0.516507,0.097027,27
0.174278,0.004451,0.136292,0.114571,0.455107,0.093286,0.119821,0.546283,0.095757,28
0.175581,-0.010494,0.136467,0.124131,0.360375,0.102163,0.128031,0.48198,0.103369,29
0.170166,0.050876,0.133423,0.126114,0.339776,0.102664,0.12661,0.493411,0.10146,30
