rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.310336,-54.531418,0.989756,0.371773,-4.737438,0.287158,0.377207,-4.041481,0.303915,1
0.817251,-20.601518,0.638378,0.27413,-2.119416,0.220096,0.259219,-1.380847,0.208362,2
0.675872,-13.774132,0.526947,0.261193,-1.831945,0.19992,0.244032,-1.110048,0.197713,3
0.605972,-10.876236,0.472323,0.261902,-1.847334,0.220616,0.266264,-1.512023,0.218366,4
0.53797,-8.36029,0.420886,0.259043,-1.785508,0.214564,0.277466,-1.72783,0.229284,5
0.474079,-6.269005,0.370036,0.292098,-2.541766,0.252173,0.312779,-2.466355,0.273738,6
0.461259,-5.881193,0.359353,0.141747,0.16596,0.109139,0.156274,0.134687,0.117667,7
0.390285,-3.926493,0.307076,0.148056,0.090064,0.114875,0.154235,0.157124,0.121791,8
0.360811,-3.210504,0.283726,0.147617,0.09545,0.117979,0.166229,0.02094,0.133324,9
0.359446,-3.178699,0.280038,0.137502,0.21516,0.113825,0.157193,0.124488,0.130829,10
0.284624,-1.620091,0.223914,0.134573,0.248242,0.100461,0.157441,0.121714,0.114679,11
0.284526,-1.618286,0.225696,0.120313,0.399122,0.093161,0.144239,0.262836,0.108286,12
0.266033,-1.288992,0.209594,0.126766,0.332934,0.104401,0.147682,0.227226,0.118938,13
0.271014,-1.375511,0.213388,0.123483,0.367045,0.10215,0.141209,0.293483,0.114955,14
0.263885,-1.252177,0.207901,0.126591,0.334781,0.09853,0.146851,0.235896,0.113462,15
0.229603,-0.705016,0.181844,0.137617,0.213855,0.10293,0.159055,0.103619,0.115484,16
0.229036,-0.696614,0.181757,0.122436,0.377728,0.093255,0.139842,0.307093,0.10164,17
0.219715,-0.56132,0.174626,0.121821,0.38396,0.099637,0.14115,0.294074,0.111873,18
0.217423,-0.528924,0.173044,0.124581,0.355739,0.097189,0.142786,0.277619,0.108663,19
0.206807,-0.383267,0.163223,0.120973,0.392516,0.098634,0.13844,0.32092,0.111455,20
0.193736,-0.21393,0.152834,0.12208,0.381337,0.092748,0.140332,0.302233,0.102646,21
0.196309,-0.246384,0.154911,0.122259,0.379527,0.099745,0.140205,0.303499,0.111959,22
0.189724,-0.16417,0.149429,0.118595,0.416162,0.096948,0.13557,0.348784,0.107635,23
0.189522,-0.161703,0.151082,0.119361,0.408596,0.092458,0.136979,0.335179,0.104542,24
0.186506,-0.125015,0.1483,0.1208,0.394248,0.093264,0.136547,0.339362,0.102452,25
0.183382,-0.087645,0.144562,0.124711,0.354385,0.103632,0.139348,0.311979,0.113671,26
0.184345,-0.099094,0.146981,0.115502,0.446213,0.090754,0.132176,0.380987,0.100605,27
0.177153,-0.015015,0.141968,0.120367,0.398582,0.091139,0.137897,0.326239,0.102478,28
0.178924,-0.035406,0.141141,0.128689,0.31255,0.108002,0.144285,0.262366,0.118347,29
0.180195,-0.050169,0.143256,0.117825,0.423715,0.096181,0.135682,0.347706,0.108657,30
