rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
3.69025,-444.92373,1.43107,0.26904,-2.004649,0.214168,0.254912,-1.049169,0.199654,1
0.336399,-2.705606,0.255379,0.245111,-1.493941,0.183583,0.240084,-0.817702,0.179688,2
0.281221,-1.589678,0.219064,0.323666,-3.348673,0.251922,0.327359,-2.379432,0.256523,3
0.269083,-1.370945,0.203394,0.212059,-0.866702,0.15552,0.20919,-0.379996,0.146935,4
0.233718,-0.788681,0.186475,0.244109,-1.473601,0.197119,0.264475,-1.205787,0.216538,5
0.241907,-0.916224,0.190277,0.163923,-0.11543,0.125512,0.178305,-0.002593,0.138172,6
0.225629,-0.667018,0.178407,0.157599,-0.03102,0.116262,0.155575,0.236732,0.114823,7
0.214333,-0.50427,0.169924,0.175933,-0.284855,0.124143,0.183699,-0.064164,0.125486,8
0.219248,-0.57406,0.172035,0.156073,-0.011153,0.115382,0.162676,0.165471,0.118024,9
0.212989,-0.485463,0.166439,0.169214,-0.188592,0.122368,0.18884,-0.124558,0.139549,10
0.195693,-0.254012,0.155033,0.160779,-0.07305,0.112931,0.172166,0.065259,0.123123,11
0.195354,-0.249667,0.155471,0.138691,0.201533,0.09855,0.14404,0.345721,0.10488,12
0.179769,-0.058223,0.141624,0.172878,-0.240628,0.120346,0.184755,-0.076435,0.12826,13
0.186154,-0.134728,0.14606,0.154806,0.005198,0.108723,0.156711,0.225548,0.115046,14
0.1816,-0.079894,0.140835,0.142763,0.153955,0.098497,0.145655,0.330969,0.102936,15
0.183655,-0.104475,0.144384,0.14792,0.091724,0.104663,0.148697,0.302732,0.107961,16
0.177837,-0.0356,0.14057,0.166217,-0.146869,0.123299,0.1709,0.078954,0.128151,17
0.176158,-0.01614,0.140019,0.16617,-0.146217,0.112801,0.178328,-0.002844,0.119167,18
0.185058,-0.121414,0.146072,0.172747,-0.23875,0.123027,0.181681,-0.040911,0.131875,19
0.181358,-0.077022,0.142884,0.135933,0.232972,0.093293,0.137237,0.406062,0.096563,20
0.170028,0.053348,0.133438,0.188848,-0.480423,0.150433,0.185945,-0.090349,0.150413,21
0.166954,0.087269,0.132365,0.121195,0.390277,0.086669,0.125229,0.505454,0.092801,22
0.164112,0.11808,0.12873,0.156915,-0.022087,0.10874,0.168206,0.107765,0.118654,23
0.165372,0.10449,0.131067,0.117878,0.423197,0.084147,0.121222,0.5366,0.089725,24
0.16246,0.135748,0.128483,0.131079,0.286775,0.0934,0.138459,0.395441,0.101984,25
0.159578,0.166137,0.126863,0.137923,0.210346,0.095808,0.137494,0.403836,0.098396,26
0.161415,0.146829,0.127843,0.126427,0.336495,0.091513,0.130788,0.460575,0.097895,27
0.159963,0.162112,0.12729,0.148819,0.080651,0.107494,0.14914,0.298572,0.108799,28
0.160427,0.157238,0.125999,0.142405,0.158194,0.099422,0.148941,0.300442,0.106198,29
0.165111,0.107307,0.129353,0.113509,0.465162,0.083926,0.117119,0.567439,0.090722,30
