rmse_train,r2_train,mae_train,rmse_test,r2_test,mae_test,rmse_dev,r2_dev,mae_dev,Epoch
1.117117,-39.093896,0.317855,0.15267,0.032466,0.11794,0.158552,0.030057,0.121356,1
0.190428,-0.165045,0.146575,0.125108,0.350272,0.099683,0.130545,0.342464,0.104019,2
0.160748,0.169825,0.127076,0.139863,0.187985,0.108077,0.146149,0.17587,0.111644,3
0.147392,0.302046,0.116927,0.122798,0.374043,0.092681,0.131774,0.330017,0.103504,4
0.133663,0.426012,0.105176,0.124301,0.358622,0.097648,0.128459,0.363304,0.100419,5
0.145121,0.323384,0.114312,0.116792,0.433777,0.090188,0.120243,0.442149,0.092435,6
0.13072,0.451012,0.102217,0.115905,0.442342,0.089641,0.119035,0.453294,0.090095,7
0.134855,0.415724,0.105644,0.111255,0.486191,0.084971,0.116358,0.477614,0.089717,8
0.122611,0.517009,0.095532,0.118763,0.414501,0.088763,0.121612,0.42937,0.095463,9
0.123571,0.509417,0.096478,0.11458,0.45502,0.088181,0.113794,0.500377,0.089197,10
0.107343,0.629804,0.082395,0.111526,0.483688,0.084368,0.110111,0.532201,0.085364,11
0.10242,0.662987,0.078336,0.110083,0.496958,0.083099,0.108825,0.543062,0.084441,12
0.0991,0.684478,0.075298,0.112206,0.477367,0.086924,0.109809,0.534762,0.086182,13
0.101615,0.668261,0.077583,0.114207,0.458565,0.085457,0.110569,0.528296,0.086559,14
0.097191,0.696516,0.074396,0.114812,0.452813,0.086097,0.108683,0.54425,0.084429,15
0.096994,0.69775,0.074485,0.11681,0.433601,0.088899,0.111441,0.520827,0.086287,16
0.090472,0.73703,0.068084,0.115099,0.450072,0.087949,0.107259,0.556116,0.086022,17
0.087641,0.753226,0.065971,0.114705,0.453833,0.086762,0.106124,0.565461,0.082602,18
0.090219,0.738498,0.068562,0.115369,0.447495,0.086212,0.105888,0.567392,0.083857,19
0.080715,0.790691,0.060159,0.119774,0.404497,0.090192,0.109033,0.541316,0.087295,20
0.077995,0.804559,0.057779,0.117099,0.430797,0.088284,0.105788,0.568212,0.083166,21
0.075042,0.819081,0.054631,0.119637,0.405857,0.089182,0.106044,0.566118,0.083139,22
0.073426,0.826787,0.053741,0.119888,0.403364,0.089233,0.10627,0.564263,0.083172,23
0.07254,0.830942,0.05288,0.12155,0.386705,0.092703,0.10782,0.551457,0.083937,24
0.070952,0.838261,0.051796,0.124387,0.357734,0.092743,0.108537,0.545475,0.086133,25
0.068995,0.84706,0.049902,0.122229,0.379836,0.091584,0.106519,0.562219,0.084132,26
0.067494,0.853644,0.048872,0.120744,0.394809,0.090595,0.105395,0.571411,0.082486,27
0.066488,0.857973,0.048039,0.122171,0.380416,0.091447,0.105701,0.568917,0.083044,28
0.065574,0.86185,0.04692,0.120326,0.398987,0.090458,0.105265,0.572468,0.080475,29
0.064218,0.867504,0.045786,0.121874,0.383428,0.092036,0.106137,0.565355,0.082343,30
