uniprot_id,topt
Q8YX97,30.0
D2Z028,30.0
Q42588,22.0
Q5MYA1,22.0
P95231,37.0
Q39218,25.0
P43886,25.0
Q03BU2,25.0
Q0ZB96,25.0
A0A0H2UNY1,25.0
Q9Y223,37.0
Q51662,30.0
D5GU62,51.0
P21890,13.0
O05268,25.0
Q96YN9,80.0
Q58085,37.0
O66747,37.0
Q6FU96,37.0
P52917,37.0
P55072,25.0
Q75JI3,25.0
P14295,30.0
Q59280,37.0
P62058,37.0
C1KGU6,30.0
Q92MJ1,30.0
G7YHA8,25.0
G5ADV1,30.0
A0A0M3KL45,21.0
A4YI89,65.0
D3RXI4,85.0
P74569,30.0
Q52UN2,37.0
Q06115,37.0
Q2YS20,37.0
I3QNT0,37.0
I3QNT2,37.0
I3QNT4,37.0
L0CM48,37.0
A5HKP3,37.0
A0A087D2Y1,37.0
I3QNS7,37.0
I3QNS8,37.0
I3QNS9,37.0
B9V401,37.0
Q74JG0,37.0
Q74LX7,37.0
C7AQX8,37.0
H6WSA2,37.0
B9V405,52.0
Q83YZ2,50.0
C7CXJ5,50.0
G0YYC2,50.0
A0A1B3PS02,55.0
J7H3P9,41.0
A0A4Z0GFP0,70.0
P30986,37.0
P46959,30.0
P41814,30.0
Q96FX7,30.0
Q9UJA5,30.0
A5U6Y7,37.0
P08303,40.0
A0A0T6DN91,25.0
Q8L2Z7,37.0
Q6LA34,90.0
Q08IT1,30.0
Q141Z6,30.0
P0AC33,37.0
O00767,37.0
P07308,30.0
Q6P7B9,30.0
P49888,37.0
P0AE01,37.0
A0A0H2ZF87,37.0
V5TDP2,37.0
E0XF09,25.0
A4YG49,53.5
Q8VP44,40.0
Q9X2G3,75.0
Q7WTR6,37.0
Q2MF17,37.0
Q8G8Y2,37.0
P07059,33.5
P11586,30.0
P24186,30.0
Q46A53,37.0
Q8KKH9,40.0
Q01740,37.0
Q99518,37.0
Q9EQ76,37.0
P97501,37.0
P52046,25.0
Q6NQ66,25.0
Q9LYD8,25.0
O81030,25.0
C8CCV9,22.0
P33022,35.0
Q10468,37.0
O07427,37.0
O80959,30.0
Q8H133,30.0
O49284,30.0
O23179,30.0
O48723,30.0
O23181,30.0
Q9FIY1,30.0
O23180,30.0
Q9SV43,30.0
Q93ZQ3,30.0
F6MZ55,37.0
F6MZ56,37.0
P29935,30.0
Q5J7D6,22.0
B6D5I7,37.0
Q8GUE4,30.0
H020163,20.0
P35670,25.0
O67432,75.0
O67203,75.0
O30085,55.0
A1JHN0,28.0
Q9SF04,28.0
Q80Y20,37.0
Q96BT7,25.0
Q7M181,30.0
A6UKD1,30.0
Q92MM4,30.0
A3TM80,30.0
F7Y223,30.0
A1T974,30.0
H0FT96,30.0
A6X7I5,30.0
E45,30.0
B3IVI7,30.0
Q88QV2,30.0
I4DST8,22.0
Q9Y6A2,37.0
P77690,30.0
Q2VEQ7,40.0
O58389,65.0
P11759,37.0
P35270,37.0
P18297,37.0
A0A172EJV6,50.0
Q12383,30.0
P15289,37.0
Q8WNR3,37.0
E1V4Y1,25.0
Q9X1N5,65.0
P0AC78,37.0
Q7TSV6,37.0
H3ZNI2,95.0
A0A0U5A554,30.0
K1QH67,30.0
T020910,30.0
Q9AJE3,30.0
Q18014,25.0
A2IBI0,35.0
Q6FBP5,30.0
Q9M1G8,37.0
Q9FPF0,37.0
Q9MAH3,37.0
Q8VY09,37.0
Q9ZV19,37.0
Q46948,22.0
Q66WM4,37.0
P25081,22.0
Q9AGZ4,40.0
Q5JBG6,22.0
O16025,22.0
P28248,37.0
D6QSX9,36.0
A0A1D7YZ01,37.0
A2TBB4,37.0
B1GSN6,37.0
C0K087,37.0
B4X9S4,37.0
Q7CIZ7,37.0
B6RGT1,37.0
C0BTR1,50.0
B7GTV0,50.0
A0A125R6G8,55.0
F6IQ86,60.0
A3R0T9,37.0
D5TM67,55.0
A8CF74,22.0
Q53U15,30.0
C0P9J6,37.0
G5DDC2,37.0
C6KEM4,37.0
B6ECN9,37.0
Q9S795,22.0
Q9STS1,22.0
Q8VWZ1,30.0
Q93YB2,30.0
