uniprot_id,ec,organism
P43408,2.7.4.3,Methanotorris igneus
Q89GR3,6.2.1.n2,Bradyrhizobium diazoefficiens
Q60352,2.7.4.26,Methanocaldococcus jannaschii
Q97X08,3.2.1.4,Saccharolobus solfataricus
Q7B8C4,3.1.1.81,Bacillus thuringiensis subsp. darmstadiensis
A0MTG4,1.1.1.307,Scheffersomyces shehatae
P81717,3.5.1.28,Achromobacter lyticus
Q6J213,1.3.5.5,Chlamydomonas reinhardtii
Q88K85,1.1.1.25,Pseudomonas putida
P06197,2.7.8.11,Saccharomyces cerevisiae
P00953,6.1.1.2,Geobacillus stearothermophilus
P95867,3.2.1.141,Saccharolobus solfataricus
A0A1W1WET7,unknown,Sulfobacillus thermosulfidooxidans
D3RXI4,4.2.1.17,Ferroglobus placidus
Q58P26,4.1.1.17,Entamoeba histolytica
O05512,3.2.1.78,Bacillus subtilis
B1A7S3,1.5.3.22,Methanobrevibacter arboriphilus
I6XPK9,3.2.1.99,Phanerodontia chrysosporium
F8A9V0,unknown,Thermodesulfatator indicus
W8CR61,1.2.7.1,Thermococcus guaymasensis
A9QXE0,4.2.1.66,Aspergillus niger
Q59478,4.2.2.3,Klebsiella pneumoniae
P22936,3.1.21.-,Saccharomyces cerevisiae
Q9WZJ3,2.1.1.74,Thermotoga maritima
O31097,3.1.3.8,Bacillus subtilis
Q875I9,3.2.1.132,Aspergillus fumigatus
Q70GL3,1.13.99.1,Sporopachydermia lactativora
Q9WYS1,5.1.2.7,Thermotoga maritima
B6EPH0,unknown,Aliivibrio salmonicida
P06617,1.13.12.3,Pseudomonas savastanoi
O32374,3.2.1.8,Acetivibrio thermocellus
A4URQ8,3.1.3.5,Yersinia intermedia
P45687,5.3.1.5,Thermotoga neapolitana
A8Q3I7,unknown,Malassezia globosa
P45148,4.2.1.1,Haemophilus influenzae
D0RAY2,1.7.2.1,Haloferax mediterranei
Q97YG7,3.2.1.4,Saccharolobus solfataricus
U6C6H1,3.1.4.3,Streptomyces sanglieri
F4NCC3,5.4.2.3,Trypanosoma brucei
P28585,3.5.2.6,Escherichia coli
A8N2G5,unknown,Coprinopsis cinerea
Q6LZC4,5.1.3.14,Methanococcus maripaludis
B1A3N2,3.2.1.8,Paenibacillus curdlanolyticus
Q2YIQ6,5.3.1.33,Brucella abortus
I6WHP7,2.1.1.318,Saccharomyces cerevisiae
Q1ARU5,2.4.1.245,Rubrobacter xylanophilus
A0A0A2SLZ4,unknown,unknown
A9YZX5,2.3.1.178,Methylophaga thalassica
Q9F131,1.14.13.24,Pseudomonas alcaligenes
P51182,2.7.1.40,Sporosarcina psychrophila
